Species_original,Species_standardised,Reference,Trait,Temperature,Trait_value,Trait_unit,Latitude,Longitude
Anabaena flosaquae,Dolichospermum flosaquae,Foy et al. (1976),growth rate,15,6.60E-06,s^-1,54.583,-6.417
Anabaena flosaquae,Dolichospermum flosaquae,Foy et al. (1976),growth rate,20,9.26E-06,s^-1,54.583,-6.417
Anabaena flosaquae,Dolichospermum flosaquae,Foy et al. (1976),growth rate,25,9.26E-07,s^-1,54.583,-6.417
Aphanizomenon flosaquae,Aphanizomenon flosaquae,Foy et al. (1976),growth rate,5,1.04E-06,s^-1,NA,NA
Aphanizomenon flosaquae,Aphanizomenon flosaquae,Foy et al. (1976),growth rate,10,3.82E-06,s^-1,NA,NA
Aphanizomenon flosaquae,Aphanizomenon flosaquae,Foy et al. (1976),growth rate,15,7.41E-06,s^-1,NA,NA
Aphanizomenon flosaquae,Aphanizomenon flosaquae,Foy et al. (1976),growth rate,20,1.02E-05,s^-1,NA,NA
Aphanizomenon flosaquae,Aphanizomenon flosaquae,Foy et al. (1976),growth rate,25,1.33E-05,s^-1,NA,NA
Aphanizomenon flosaquae,Aphanizomenon flosaquae,Foy et al. (1976),growth rate,30,7.52E-06,s^-1,NA,NA
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,2,3.24E-06,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,5,4.86E-06,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,8,6.13E-06,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,11,8.45E-06,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,14,1.16E-05,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,17,1.22E-05,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,17,1.28E-05,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,20,1.24E-05,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,25,1.08E-05,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Butterwick et al. (2005),growth rate,30,0,s^-1,54.436,-2.968
Asterionella formosa,Asterionella formosa,Suzuki and Takahashi (1995),growth rate,2,0,s^-1,36,140
Asterionella formosa,Asterionella formosa,Suzuki and Takahashi (1995),growth rate,5,7.18E-06,s^-1,36,140
Asterionella formosa,Asterionella formosa,Suzuki and Takahashi (1995),growth rate,10,7.41E-06,s^-1,36,140
Asterionella formosa,Asterionella formosa,Suzuki and Takahashi (1995),growth rate,15,1.02E-05,s^-1,36,140
Asterionella formosa,Asterionella formosa,Suzuki and Takahashi (1995),growth rate,20,1.47E-05,s^-1,36,140
Asterionella formosa,Asterionella formosa,Suzuki and Takahashi (1995),growth rate,25,1.26E-05,s^-1,36,140
Asterionella formosa,Asterionella formosa,Suzuki and Takahashi (1995),growth rate,30,0,s^-1,36,140
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,1,4.28E-06,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,4.5,6.37E-06,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,7,1.03E-05,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,9,1.22E-05,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,11.5,1.03E-05,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,14.2,3.82E-06,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,17,1.48E-05,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,20.3,8.80E-06,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,22,1.11E-05,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,25.7,0.000009838,s^-1,41.9,-70.32
Asterionellopsis glacialis,Asterionellopsis glacialis,Hulburt (1982),growth rate,27.5,0,s^-1,41.9,-70.32
Aulacoseira granulata,Aulacoseira granulata,Coles and Jones (2000),growth rate,15,4.86E-06,s^-1,NA,NA
Aulacoseira granulata,Aulacoseira granulata,Coles and Jones (2000),growth rate,20,8.33E-06,s^-1,NA,NA
Aulacoseira granulata,Aulacoseira granulata,Coles and Jones (2000),growth rate,25,9.03E-06,s^-1,NA,NA
Aulacoseira granulata,Aulacoseira granulata,Coles and Jones (2000),growth rate,30,1.01E-05,s^-1,NA,NA
Biddulphia aurita,Odontella aurita,Baars (1981),growth rate,-1.5,2.55E-06,s^-1,51.395,3.557
Biddulphia aurita,Odontella aurita,Baars (1981),growth rate,0,4.17E-06,s^-1,51.395,3.557
Biddulphia aurita,Odontella aurita,Baars (1981),growth rate,3,6.60E-06,s^-1,51.395,3.557
Biddulphia aurita,Odontella aurita,Baars (1981),growth rate,6,8.22E-06,s^-1,51.395,3.557
Biddulphia aurita,Odontella aurita,Baars (1981),growth rate,12,1.11E-05,s^-1,51.395,3.557
Biddulphia aurita,Odontella aurita,Baars (1981),growth rate,16,0.000006713,s^-1,51.395,3.557
Biddulphia aurita,Odontella aurita,Baars (1981),growth rate,20,1.16E-06,s^-1,51.395,3.557
Biddulphia regia,Odontella regia,Baars (1981),growth rate,6,4.05E-06,s^-1,51.395,3.557
Biddulphia regia,Odontella regia,Baars (1981),growth rate,12,7.87E-06,s^-1,51.395,3.557
Biddulphia regia,Odontella regia,Baars (1981),growth rate,20,7.64E-06,s^-1,51.395,3.557
Biddulphia regia,Odontella regia,Baars (1981),growth rate,26,2.89E-06,s^-1,51.395,3.557
Biddulphia sinensis,Odontella sinensis,Baars (1981),growth rate,12,4.98E-06,s^-1,51.395,3.557
Biddulphia sinensis,Odontella sinensis,Baars (1981),growth rate,20,7.18E-06,s^-1,51.395,3.557
Biddulphia sinensis,Odontella sinensis,Baars (1981),growth rate,26,5.56E-06,s^-1,51.395,3.557
Biddulphia sinensis,Odontella sinensis,Baars (1981),growth rate,30,1.15E-05,s^-1,51.395,3.557
Calcidiscus leptoporus strain N482-1,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,6,0,s^-1,-23,14
Calcidiscus leptoporus strain N482-1,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,9,0.000000162,s^-1,-23,14
Calcidiscus leptoporus strain N482-1,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,12,3.97E-06,s^-1,-23,14
Calcidiscus leptoporus strain N482-1,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,15,4.49E-06,s^-1,-23,14
Calcidiscus leptoporus strain N482-1,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,20,5.12E-06,s^-1,-23,14
Calcidiscus leptoporus strain N482-1,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,25,0,s^-1,-23,14
Calcidiscus leptoporus strain NS10-2,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,6,0,s^-1,-34.28,17.18
Calcidiscus leptoporus strain NS10-2,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,9,0.000000162,s^-1,-34.28,17.18
Calcidiscus leptoporus strain NS10-2,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,12,6.59E-06,s^-1,-34.28,17.18
Calcidiscus leptoporus strain NS10-2,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,15,0.000003669,s^-1,-34.28,17.18
Calcidiscus leptoporus strain NS10-2,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,20,3.53E-06,s^-1,-34.28,17.18
Calcidiscus leptoporus strain NS10-2,Cyclococcolithus leptoporus,Buitenhuis et al. (2008),growth rate,25,0,s^-1,-34.28,17.18
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,10,0,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,12,5.79E-07,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,14,2.55E-06,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,16,2.78E-06,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,18,5.09E-06,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,20,5.09E-06,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,22,0.000005787,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,24,0.000006713,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,26,6.13E-06,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,28,6.13E-06,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,30,3.24E-06,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Baek et al. (2008),growth rate,32,0,s^-1,35.15,139.35
Ceratium furca,Ceratium furca,Meeson and Sweeney (1982),growth rate,10,8.10E-07,s^-1,NA,NA
Ceratium furca,Ceratium furca,Meeson and Sweeney (1982),growth rate,15,1.74E-06,s^-1,NA,NA
Ceratium furca,Ceratium furca,Meeson and Sweeney (1982),growth rate,20,3.01E-06,s^-1,NA,NA
Ceratium furcoides,Ceratium furcoides,Butterwick et al. (2005),growth rate,8,0,s^-1,54.436,-2.968
Ceratium furcoides,Ceratium furcoides,Butterwick et al. (2005),growth rate,11,0.000000463,s^-1,54.436,-2.968
Ceratium furcoides,Ceratium furcoides,Butterwick et al. (2005),growth rate,14,1.04E-06,s^-1,54.436,-2.968
Ceratium furcoides,Ceratium furcoides,Butterwick et al. (2005),growth rate,17,1.85E-06,s^-1,54.436,-2.968
Ceratium furcoides,Ceratium furcoides,Butterwick et al. (2005),growth rate,20,2.31E-06,s^-1,54.436,-2.968
Ceratium furcoides,Ceratium furcoides,Butterwick et al. (2005),growth rate,25,2.20E-06,s^-1,54.436,-2.968
Ceratium furcoides,Ceratium furcoides,Butterwick et al. (2005),growth rate,30,0,s^-1,54.436,-2.968
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,10,0,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,12,3.47E-07,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,14,0.000002662,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,16,2.20E-06,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,18,3.24E-06,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,20,4.17E-06,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,22,4.28E-06,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,24,4.51E-06,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,26,6.13E-06,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,28,5.44E-06,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,30,0.000002662,s^-1,35.16,139.176
Ceratium fusus,Ceratium fusus,Baek et al. (2008),growth rate,32,0,s^-1,35.16,139.176
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,10,0.00000625,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,10,7.64E-06,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,10,1.10E-05,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,15,1.22E-05,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,15,2.18E-05,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,18,2.31E-05,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,20,1.77E-05,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,20,2.03E-05,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,20,2.12E-05,s^-1,NA,NA
Chaetoceros calcitrans,Chaetoceros calcitrans,Thompson et al. (1992),growth rate,20,2.38E-05,s^-1,NA,NA
