species,temperature,irradiance,growth rate,daylength,environment,taxon,reference
Ceratium fusus,20,216,0.320836365,12,marine,dinoflagellate,2
Ceratium fusus,20,600,0.399221848,12,marine,dinoflagellate,2
Ceratium fusus,20,796,0.403071029,12,marine,dinoflagellate,2
Ceratium fusus,18,0,0,12,marine,dinoflagellate,2
Ceratium fusus,18,58,0.120215625,12,marine,dinoflagellate,2
Ceratium fusus,18,180,0.219165714,12,marine,dinoflagellate,2
Ceratium fusus,18,216,0.25929699,12,marine,dinoflagellate,2
Ceratium fusus,18,600,0.362298222,12,marine,dinoflagellate,2
Ceratium fusus,18,796,0.292300153,12,marine,dinoflagellate,2
Ceratium fusus,16,0,0,12,marine,dinoflagellate,2
Ceratium fusus,16,58,0.055599281,12,marine,dinoflagellate,2
Ceratium fusus,16,180,0.136075677,12,marine,dinoflagellate,2
Ceratium fusus,16,216,0.148537994,12,marine,dinoflagellate,2
Ceratium fusus,16,600,0.211562393,12,marine,dinoflagellate,2
Ceratium fusus,16,796,0.233813986,12,marine,dinoflagellate,2
Ceratium fusus,14,0,0,12,marine,dinoflagellate,2
Ceratium fusus,14,58,0.067908165,12,marine,dinoflagellate,2
Ceratium fusus,14,180,0.176090766,12,marine,dinoflagellate,2
Ceratium fusus,14,216,0.185464374,12,marine,dinoflagellate,2
Ceratium fusus,14,600,0.230003861,12,marine,dinoflagellate,2
Ceratium fusus,14,796,0.243096023,12,marine,dinoflagellate,2
Ceratium fusus,12,0,0,12,marine,dinoflagellate,2
Ceratium fusus,12,58,0.012533785,12,marine,dinoflagellate,2
Ceratium fusus,12,180,0.009931985,12,marine,dinoflagellate,2
Ceratium fusus,12,216,0.019305593,12,marine,dinoflagellate,2
Ceratium fusus,12,600,0.014600968,12,marine,dinoflagellate,2
Ceratium fusus,12,796,0,12,marine,dinoflagellate,2
Ceratium fusus,10,0,0,12,marine,dinoflagellate,2
Ceratium fusus,10,58,0,12,marine,dinoflagellate,2
Ceratium fusus,10,180,0,12,marine,dinoflagellate,2
Ceratium fusus,10,216,0,12,marine,dinoflagellate,2
Ceratium fusus,10,600,0,12,marine,dinoflagellate,2
Ceratium fusus,10,796,0,12,marine,dinoflagellate,2
Micractinium pusillum,15,8,0.0125,15,freshwater,chlorophyte,3
Micractinium pusillum,15,20,0.05,15,freshwater,chlorophyte,3
Micractinium pusillum,15,30,0.029166667,15,freshwater,chlorophyte,3
Micractinium pusillum,15,50,0.116666667,15,freshwater,chlorophyte,3
Micractinium pusillum,15,60,0.0963,15,freshwater,chlorophyte,3
Micractinium pusillum,15,80,0.091666667,15,freshwater,chlorophyte,3
Micractinium pusillum,15,100,0.108333333,15,freshwater,chlorophyte,3
Micractinium pusillum,15,130,0.045833333,15,freshwater,chlorophyte,3
Micractinium pusillum,15,180,0.079166667,15,freshwater,chlorophyte,3
Micractinium pusillum,15,320,0.004166667,15,freshwater,chlorophyte,3
Micractinium pusillum,15,450,0.004166667,15,freshwater,chlorophyte,3
Micractinium pusillum,15,630,0.004166667,15,freshwater,chlorophyte,3
Micractinium pusillum,20,8,0.278044305,15,freshwater,chlorophyte,3
Micractinium pusillum,20,20,0.199264384,15,freshwater,chlorophyte,3
Micractinium pusillum,20,30,0.336270747,15,freshwater,chlorophyte,3
Micractinium pusillum,20,50,0.311466855,15,freshwater,chlorophyte,3
Micractinium pusillum,20,60,0.232712184,15,freshwater,chlorophyte,3
Micractinium pusillum,20,80,0.299170117,15,freshwater,chlorophyte,3
Micractinium pusillum,20,100,0.324176009,15,freshwater,chlorophyte,3
Micractinium pusillum,20,130,0.332626334,15,freshwater,chlorophyte,3
Micractinium pusillum,20,180,0.245758004,15,freshwater,chlorophyte,3
Micractinium pusillum,20,320,0.171783995,15,freshwater,chlorophyte,3
Micractinium pusillum,20,450,0.184922398,15,freshwater,chlorophyte,3
Micractinium pusillum,20,630,0.111099889,15,freshwater,chlorophyte,3
Micractinium pusillum,25,8,0.042066028,15,freshwater,chlorophyte,3
Micractinium pusillum,25,20,0.10944156,15,freshwater,chlorophyte,3
Micractinium pusillum,25,30,0.252446086,15,freshwater,chlorophyte,3
Micractinium pusillum,25,50,0.2178,15,freshwater,chlorophyte,3
Micractinium pusillum,25,60,0.2011,15,freshwater,chlorophyte,3
Micractinium pusillum,25,80,0.252928647,15,freshwater,chlorophyte,3
Micractinium pusillum,25,100,0.253128328,15,freshwater,chlorophyte,3
Micractinium pusillum,25,130,0.25767938,15,freshwater,chlorophyte,3
Micractinium pusillum,25,180,0.468292399,15,freshwater,chlorophyte,3
Micractinium pusillum,25,320,0.142014444,15,freshwater,chlorophyte,3
Micractinium pusillum,25,450,0.256839058,15,freshwater,chlorophyte,3
Micractinium pusillum,25,630,0.241779819,15,freshwater,chlorophyte,3
Micractinium pusillum,30,8,0.170940171,15,freshwater,chlorophyte,3
Micractinium pusillum,30,20,0.205128205,15,freshwater,chlorophyte,3
Micractinium pusillum,30,30,0.299145299,15,freshwater,chlorophyte,3
Micractinium pusillum,30,50,0.33617,15,freshwater,chlorophyte,3
Micractinium pusillum,30,60,0.34468,15,freshwater,chlorophyte,3
Micractinium pusillum,30,80,0.444444444,15,freshwater,chlorophyte,3
Micractinium pusillum,30,100,0.423076923,15,freshwater,chlorophyte,3
Micractinium pusillum,30,130,0.41025641,15,freshwater,chlorophyte,3
Micractinium pusillum,30,180,0.555555556,15,freshwater,chlorophyte,3
Micractinium pusillum,30,320,0.423076923,15,freshwater,chlorophyte,3
Micractinium pusillum,30,450,0.423076923,15,freshwater,chlorophyte,3
Micractinium pusillum,30,630,0.269230769,15,freshwater,chlorophyte,3
Micractinium pusillum,35,8,0.207627119,15,freshwater,chlorophyte,3
Micractinium pusillum,35,20,0.262711864,15,freshwater,chlorophyte,3
Micractinium pusillum,35,30,0.38559322,15,freshwater,chlorophyte,3
Micractinium pusillum,35,50,0.351694915,15,freshwater,chlorophyte,3
Micractinium pusillum,35,60,0.402542373,15,freshwater,chlorophyte,3
Micractinium pusillum,35,80,0.449152542,15,freshwater,chlorophyte,3
Micractinium pusillum,35,100,0.470338983,15,freshwater,chlorophyte,3
Micractinium pusillum,35,130,0.555084746,15,freshwater,chlorophyte,3
Micractinium pusillum,35,180,0.572033898,15,freshwater,chlorophyte,3
Micractinium pusillum,35,320,0.389830508,15,freshwater,chlorophyte,3
Micractinium pusillum,35,450,0.461864407,15,freshwater,chlorophyte,3
Micractinium pusillum,35,630,0.190677966,15,freshwater,chlorophyte,3
Micractinium pusillum,40,8,0.139941714,15,freshwater,chlorophyte,3
Micractinium pusillum,40,20,0.201742166,15,freshwater,chlorophyte,3
Micractinium pusillum,40,30,0.296464428,15,freshwater,chlorophyte,3
Micractinium pusillum,40,50,0.247185794,15,freshwater,chlorophyte,3
Micractinium pusillum,40,60,0.362444156,15,freshwater,chlorophyte,3
Micractinium pusillum,40,80,0.325503195,15,freshwater,chlorophyte,3
Micractinium pusillum,40,100,0.403796577,15,freshwater,chlorophyte,3
Micractinium pusillum,40,130,0.445116972,15,freshwater,chlorophyte,3
Micractinium pusillum,40,180,0.43714272,15,freshwater,chlorophyte,3
Micractinium pusillum,40,320,0,15,freshwater,chlorophyte,3
Micractinium pusillum,40,450,0,15,freshwater,chlorophyte,3
Micractinium pusillum,40,630,0,15,freshwater,chlorophyte,3
Chroococcus minutus,15,4,0.172413793,16,freshwater,cyanobacteria,4
Chroococcus minutus,15,13,0.350574713,16,freshwater,cyanobacteria,4
Chroococcus minutus,15,55,0.5,16,freshwater,cyanobacteria,4
Chroococcus minutus,15,160,0.74137931,16,freshwater,cyanobacteria,4
Chroococcus minutus,20,4,0.161752884,16,freshwater,cyanobacteria,4
Chroococcus minutus,20,13,0.368187852,16,freshwater,cyanobacteria,4
Chroococcus minutus,20,55,0.754173755,16,freshwater,cyanobacteria,4
Chroococcus minutus,20,160,0.980837181,16,freshwater,cyanobacteria,4
Chroococcus minutus,25,4,0.240350267,16,freshwater,cyanobacteria,4
Chroococcus minutus,25,13,0.365879528,16,freshwater,cyanobacteria,4
Chroococcus minutus,25,55,0.698378488,16,freshwater,cyanobacteria,4
Chroococcus minutus,25,160,1.292135117,16,freshwater,cyanobacteria,4
Chroococcus minutus,30,0.25,0.085333333,16,freshwater,cyanobacteria,4
Chroococcus minutus,30,4,0.330525386,16,freshwater,cyanobacteria,4
Chroococcus minutus,30,13,0.538172185,16,freshwater,cyanobacteria,4
Chroococcus minutus,30,55,1.059355408,16,freshwater,cyanobacteria,4
Chroococcus minutus,30,160,1.348980132,16,freshwater,cyanobacteria,4
Chroococcus minutus,35,4,0.197188523,16,freshwater,cyanobacteria,4
Chroococcus minutus,35,13,0.668242214,16,freshwater,cyanobacteria,4
Chroococcus minutus,35,55,0.990721776,16,freshwater,cyanobacteria,4
Chroococcus minutus,35,160,0.961416592,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,15,0.25,0.055897356,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,15,4,0.329465363,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,15,13,0.603325416,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,15,55,0.469374246,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,15,160,0.370215334,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,20,0.25,0.012021916,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,20,4,0.260035108,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,20,13,0.393489015,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,20,55,0.535092292,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,20,160,0.837384967,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,25,0.25,0.106738604,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,25,4,0.219187733,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,25,13,0.472175098,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,25,55,0.737028488,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,25,160,0.907528437,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,30,0.25,0.135974595,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,30,4,0.498654166,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,30,13,0.538494884,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,30,55,0.941559554,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,30,160,1.425112153,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,35,0.25,0.244405091,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,35,4,0.391857704,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,35,13,0.607208189,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,35,55,1.2468182,16,freshwater,cyanobacteria,4
Microcystis flos-aquae,35,160,1.689837699,16,freshwater,cyanobacteria,4
Planktothrix agardhii,15,0.25,0.402355288,16,freshwater,cyanobacteria,4
Planktothrix agardhii,15,4,0.623690974,16,freshwater,cyanobacteria,4
Planktothrix agardhii,15,13,0.512562814,16,freshwater,cyanobacteria,4
Planktothrix agardhii,15,55,0.458360505,16,freshwater,cyanobacteria,4
Planktothrix agardhii,15,160,0.127853005,16,freshwater,cyanobacteria,4
Planktothrix agardhii,20,0.25,0.023559498,16,freshwater,cyanobacteria,4
Planktothrix agardhii,20,4,0.071000675,16,freshwater,cyanobacteria,4
Planktothrix agardhii,20,13,0.153922052,16,freshwater,cyanobacteria,4
Planktothrix agardhii,20,55,0.934325383,16,freshwater,cyanobacteria,4
Planktothrix agardhii,20,160,0.655235947,16,freshwater,cyanobacteria,4
Planktothrix agardhii,25,0.25,0.061107728,16,freshwater,cyanobacteria,4
Planktothrix agardhii,25,4,0.383035269,16,freshwater,cyanobacteria,4
Planktothrix agardhii,25,13,0.504752413,16,freshwater,cyanobacteria,4
Planktothrix agardhii,25,55,1.118948748,16,freshwater,cyanobacteria,4
Planktothrix agardhii,25,160,1.124356348,16,freshwater,cyanobacteria,4
Planktothrix agardhii,30,0.25,0.06164416,16,freshwater,cyanobacteria,4
Planktothrix agardhii,30,4,0.504130745,16,freshwater,cyanobacteria,4
Planktothrix agardhii,30,13,1.114610442,16,freshwater,cyanobacteria,4
Planktothrix agardhii,30,55,1.416320466,16,freshwater,cyanobacteria,4
Planktothrix agardhii,30,160,1.885001561,16,freshwater,cyanobacteria,4
Planktothrix agardhii,35,0.25,0.149585878,16,freshwater,cyanobacteria,4
Planktothrix agardhii,35,4,0.382182065,16,freshwater,cyanobacteria,4
Planktothrix agardhii,35,13,0.531600621,16,freshwater,cyanobacteria,4
Planktothrix agardhii,35,55,0.846575011,16,freshwater,cyanobacteria,4
Planktothrix agardhii,35,160,1.177035984,16,freshwater,cyanobacteria,4
Coelastrum microporum f. astroidea,15,30,0.114184037,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,36,0.193743005,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,42,0.25337507,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,62,0.327845201,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,90,0.392303791,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,122,0.451726007,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,166,0.47134688,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,230,0.475701245,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,400,0.429551973,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,15,456,0.399211318,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,30,0.105237258,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,36,0.13029877,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,42,0.170351494,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,62,0.300518453,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,90,0.44572935,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,122,0.59102812,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,166,0.68129174,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,230,0.761924429,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,400,0.70831283,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,20,456,0.743796134,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,30,0.104007239,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,36,0.12876297,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,42,0.218140236,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,62,0.456348675,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,90,0.600108241,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,122,0.81831831,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,166,0.967001088,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,230,1.050678251,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,400,1.15333248,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,25,456,1.167656935,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,30,0.209005071,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,36,0.308602903,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,42,0.418176255,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,62,0.612336073,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,90,0.826350761,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,122,1.055263158,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,166,1.279183424,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,230,1.303339745,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,400,1.620624235,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,30,456,1.550279769,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,30,0.134551495,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,36,0.209302326,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,42,0.249169435,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,62,0.617940199,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,90,0.762458472,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,122,1.021594684,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,166,1.275747508,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,230,1.509966777,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,400,1.65448505,15,freshwater,chlorophyte,5
Coelastrum microporum f. astroidea,35,456,1.624584718,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,30,0,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,36,0.031746032,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,40,0.031662245,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,62,0.045701252,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,90,0.045310245,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,122,0.044835451,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,166,0.022855281,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,230,0.021756738,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,400,0.019392077,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,15,456,0.014969976,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,30,0.183098592,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,36,0.20657276,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,40,0.225352113,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,62,0.300469484,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,90,0.352112676,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,122,0.422535211,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,166,0.441314554,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,230,0.455399061,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,400,0.403755869,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,20,456,0.338028169,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,25,30,0.152826349,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,25,36,0.186260747,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,25,40,0.219703451,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,25,62,0.372612867,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,25,90,0.477609337,15,freshwater,chlorophyte,5
Cosmarium subprotumidum,25,122,0.55863272,15,freshwater,chlorophyte,5
