P-N ,Aufschlussverfahren,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Berechnungsformel:,,µg N or P µg/L devided by 1000 and multiplay by digestion Vol [10ml] ,,,,Dany Steiner,7.11.2017,2019-06-24,,,,,,,,
1,56,WT        ,W         ,Wash,-4.76,0.60,,,,10,,10,,-0.476,0.06,19
21,57,A21       ,U         ,21,626.08,171.74,,,,10,,20,,125.216,34.348,21
21,58,A21       ,U         ,21,630.08,172.54,,,,10,,20,,126.016,34.508,21
22,59,A22       ,U         ,22,335.37,82.78,,,,10,,20,,67.074,16.556,22
22,60,A22       ,U         ,22,331.01,82.81,,,,10,,20,,66.202,16.562,22
23,61,A23       ,U         ,23,351.00,71.63,,,,10,,20,,70.200,14.326,23
23,62,A23       ,U         ,23,352.26,71.17,,,,10,,20,,70.452,14.234,23
24,63,A24       ,U         ,24,189.47,36.78,,,,10,,20,,37.894,7.356,24
24,64,A24       ,U         ,24,183.07,36.54,,,,10,,20,,36.614,7.308,24
25,65,A25       ,U         ,25,385.86,73.41,,,,10,,20,,77.172,14.682,25
25,66,A25       ,U         ,25,389.07,75.35,,,,10,,20,,77.814,15.070,25
26,67,A26       ,U         ,26,427.04,79.38,,,,10,,20,,85.408,15.876,26
26,68,A26       ,U         ,26,427.54,80.03,,,,10,,20,,85.508,16.006,26
27,69,A27       ,U         ,27,315.28,60.16,,,,10,,20,,63.056,12.032,27
27,70,A27       ,U         ,27,314.64,59.66,,,,10,,20,,62.928,11.932,27
28,71,A28       ,U         ,28,329.75,77.23,,,,10,,20,,65.950,15.446,28
28,72,A28       ,U         ,28,330.75,77.34,,,,10,,20,,66.150,15.468,28
29,73,A29       ,U         ,29,440.39,93.95,,,,10,,20,,88.078,18.790,29
29,74,A29       ,U         ,29,439.59,94.49,,,,10,,20,,87.918,18.898,29
30,75,A30       ,U         ,30,461.62,91.28,,,,10,,20,,92.324,18.256,30
30,76,A30       ,U         ,30,462.06,89.95,,,,10,,20,,92.412,17.990,30
1,77,ST4       ,D         ,Drift,539.44,56.48,,,,10,,10,,53.944,5.648,29
1,78,WT        ,W         ,Wash,-4.76,0.60,,,,10,,10,,-0.476,0.06,29
31,79,A31       ,U         ,31,207.88,40.20,,,,10,,20,,41.576,8.040,31
31,80,A31       ,U         ,31,212.11,40.15,,,,10,,20,,42.422,8.030,31
32,81,A32       ,U         ,32,439.85,108.72,,,,10,,20,,87.970,21.744,32
32,82,A32       ,U         ,32,442.60,109.26,,,,10,,20,,88.520,21.852,32
33,83,A33       ,U         ,33,371.29,79.09,,,,10,,20,,74.258,15.818,33
33,84,A33       ,U         ,33,370.09,78.69,,,,10,,20,,74.018,15.738,33
35,87,A35       ,U         ,35,418.63,128.95,,,,10,,20,,83.726,25.790,35
35,88,A35       ,U         ,35,425.14,130.26,,,,10,,20,,85.028,26.052,35
36,89,B1        ,U         ,36,333.77,70.22,,,,10,,20,,66.754,14.044,36
36,90,B1        ,U         ,36,331.39,70.30,,,,10,,20,,66.278,14.060,36
37,91,B2        ,U         ,37,386.18,82.06,,,,10,,20,,77.236,16.412,37
37,92,B2        ,U         ,37,387.10,79.94,,,,10,,20,,77.420,15.988,37
38,93,B3        ,U         ,38,297.99,75.23,,,,10,,20,,59.598,15.046,38
38,94,B3        ,U         ,38,297.65,75.01,,,,10,,20,,59.530,15.002,38
39,95,B4        ,U         ,39,497.36,113.52,,,,10,,20,,99.472,22.704,39
39,96,B4        ,U         ,39,500.00,117.80,,,,10,,20,,100.000,23.560,39
40,97,B5        ,U         ,40,253.62,47.57,,,,10,,20,,50.724,9.514,40
40,98,B5        ,U         ,40,251.74,47.52,,,,10,,20,,50.348,9.504,40
1,99,ST4       ,D         ,Drift,534.19,56.36,,,,10,,10,,53.419,5.636,A3
1,100,WT        ,W         ,Wash,-4.76,0.60,,,,10,,10,,-0.476,0.06,A3
1,109,ST4       ,D         ,Drift,527.22,58.06,,,,,,,,,,
1,110,WT        ,W         ,Wash,-4.76,0.60,,,,,,,,,,
1,111,E         ,E         ,EndRun,-4.76,0.60,,,,,,,,,,
